energy_densityc2,pressurec2,baryon_density
9255.9364926035,0.0089035112,9315.2459297907
9471.139544405,0.009272288,9531.8286388638
9691.3406008883,0.0096567933,9753.4469712819
9916.6553830181,0.0100577346,9980.21800704
10147.2022775141,0.0104758535,10212.2615482837
10383.1023978199,0.0109119272,10449.7001826
10624.8883512393,0.0113672852,10693.0656370172
10872.3076340236,0.0118417586,10942.0988850904
11125.4914350815,0.0123361375,11196.931925361
11384.5739939885,0.0128512431,11457.699830514
11649.692671753,0.0133879293,11724.5408189733
11920.9880232165,0.0139470836,11997.5963281632
12198.6038711288,0.0145296286,12277.0110894766
12482.6873819338,0.0151365232,12562.9332049886
12773.3891433076,0.0157687638,12855.5142259575
13070.8632434869,0.0164273858,13154.9092331536
13375.267352431,0.0171134649,13461.2769190584
13686.7628048601,0.0178281187,13774.7796719792
14005.5146852079,0.0185725079,14095.5836621213
14331.6919145405,0.0193478382,14423.8589296663
14665.4673394794,0.0201553615,14759.7794749
15007.0178231793,0.0209963779,15103.5233504407
15356.5243384063,0.021872237,15455.2727556152
15714.1720627647,0.0227843401,15815.2141330313
16080.1504761216,0.0237341413,16183.5382674021
16454.6534602813,0.02472315,16560.4403866687
16837.8794009587,0.0257529323,16946.1202654811
17230.0312921056,0.0268251133,17340.782331086
17631.3168426456,0.0279413785,17744.6357716833
18041.9485856718,0.0291034766,18157.8946473048
18462.1439901595,0.0303132209,18580.7780032749
18892.1255752612,0.0315724918,19013.5099863151
19332.121027232,0.032883239,19456.3199633507
19782.3633190566,0.0342474835,19909.4426430855
20243.0908328301,0.0356673201,20373.1182004087
20714.5474849623,0.0371449196,20847.5924036966
21196.982854269,0.0386825316,21333.1167450818
21690.6523130131,0.0402824864,21829.9485737543
22195.8171609686,0.0419471979,22338.3512323685
22712.7447625714,0.0436791661,22858.5941966259
23241.7086872318,0.0454809797,23390.9532181087
23782.9888528798,0.0473553189,23935.7104704417
24336.8716728145,0.0493049581,24493.1546988546
24903.6502059393,0.0513327685,25063.5813732316
25483.6243104547,0.0534417213,25647.2928447218
26077.1008010901,0.0556348906,26244.5985059999
26669.629423044,0.0578599733,26840.9522163879
27275.6229190696,0.0601722975,27450.856819841
27895.3871376653,0.0625752353,28074.6202321141
28529.2348678012,0.0650722883,28712.5573657046
29177.4859961836,0.0676670922,29364.9902888392
29840.4676680672,0.0703634226,30032.2483880728
30518.5144517067,0.0731651996,30714.6685345812
31211.9685065265,0.0760764938,31412.5952542354
31921.1797550927,0.0791015321,32126.380901537
32646.5060589699,0.0822447036,32856.3858375084
33388.3133985579,0.0855105657,33602.9786116237
34146.9760569879,0.0889038508,34366.5361478743
34922.8768081815,0.0924294729,35147.4439350626
35716.4071091532,0.0960925348,35946.0962214191
36527.9672966661,0.099898335,36762.8962136424
37357.9667883231,0.1038523755,37598.2562804618
38206.82428821,0.1079603696,38452.5981608241
39074.9679971834,0.1122282501,39326.3531768142
39962.8358279052,0.1166621775,40219.9624514105
40870.8756247397,0.1212685491,41133.8771311904
41799.5453886208,0.1260540081,42068.558614095
42749.3135069896,0.1310254528,43024.4787823709
43720.6589889388,0.1361900469,44002.1202408031
44714.0717056541,0.1415552292,45001.9765603631
45730.0526363012,0.1471287249,46024.5525273922
46769.1141194522,0.1529185562,47070.3643984478
47831.7801101994,0.1589330539,48139.9401609389
48918.5864430706,0.1651808693,49233.8197996868
50030.081100883,0.1716709868,50352.5555695406
51166.8244896652,0.1784127368,51496.7122741877
52329.3897197896,0.185415809,52666.8675513
53518.362893446,0.192690266,53863.6121641599
54734.3433986127,0.2002465587,55087.5502999119
55977.9442096542,0.2080955405,56339.299874592
57249.7921947118,0.2162484833,57619.492845088
58550.5284300274,0.2247170938,58928.7755281892
59880.8085213584,0.2335135304,60267.8089268834
61241.3029326561,0.2426504205,61637.2690640724
62632.6973221489,0.2521408794,63037.8473238669
64055.6928860159,0.2619985287,64470.250800638
65511.00670981,0.2722375162,65935.2026560002
67036.4978800398,0.2831395455,67470.8256664936
68597.4774748103,0.2944727373,69042.2131538571
70194.7724940155,0.3062538831,70650.1980684951
71829.2292937703,0.3185004164,72295.632760126
73501.7140425916,0.3312304361,73979.3894295913
75213.1131884256,0.3444627321,75702.3605911881
76964.3339367932,0.3582168105,77465.4595457633
78756.3047403177,0.3725129205,79269.6208648321
80589.9757998925,0.387372082,81115.8008859684
82466.3195777971,0.4028161144,83004.978219736
84386.331323024,0.4188676659,84938.1542684204
86351.0296091302,0.4355502449,86916.3537568465
88361.4568848971,0.4528882512,88940.6252755608
90418.6800381278,0.4709070093,91012.0418366562
92523.7909728724,0.4896328029,93131.7014425502
94677.9072004385,0.5090929097,95300.7276680047
96882.1724444883,0.5293156388,97520.2702557067
99137.7572605772,0.5503303679,99791.5057257105
101445.859670489,0.5721675835,102115.637999082
103807.705811705,0.5948589213,104493.899036069
106224.550602402,0.6184372082,106927.549489123
108697.678422312,0.6429365065,109417.87937114
111228.403809885,0.6683921589,111966.208739268
113818.072176078,0.6948408355,114573.888394622
116468.060535253,0.7223205825,117242.300598319
119179.778253522,0.7508708722,119972.859804168
121954.667815013,0.7805326553,122767.013408445
124794.205606471,0.8113484148,125626.242517107
127699.902720634,0.8433622217,128552.062730893
130673.305778862,0.8766197929,131546.024948707
133715.997773444,0.9111685511,134609.716189698
136829.598930112,0.9470576865,137744.760434504
140015.767591212,0.9843382209,140952.81948608
143276.201120049,1.0230630745,144235.593850573
146612.636826914,1.0632871338,147594.823638714
150026.852917335,1.1050673236,151032.289488204
153520.669463073,1.1484626798,154549.81350759
157095.949396419,1.1935344256,158149.260242105
160754.599528377,1.2403460509,161832.537662018
164498.571591281,1.2889633931,165601.598174001
168236.088171473,1.3382133852,169364.04694837
172058.629024195,1.3893204989,173211.978115033
175968.126323461,1.4423535158,177147.333823861
179966.556005429,1.4973837054,181172.100350135
184055.93875393,1.5544849125,185288.309097083
188238.341008024,1.6137336476,189498.037621169
192515.875992058,1.67520918,193803.410680696
196890.704768693,1.738993634,198206.601308229
201365.037315457,1.8051720891,202709.83190737
205941.13362532,1.8738326823,207315.375374476
210621.3048318,1.945066715,212025.556245835
215407.914359202,2.0189687628,216842.751870926
220303.379098462,2.0956367889,221769.393612333
225310.17060922,2.1751722619,226807.968072905
230430.816348708,2.2576802769,231961.018350815
235667.90092797,2.3432696807,237231.145323132
241024.067396099,2.4320532013,242621.008958537
246502.01855308,2.5241475819,248133.329659894
252104.518291812,2.6196737186,253770.889637294
257834.392970081,2.7187568034,259536.53431231
263694.53281297,2.8215264714,265433.173754168
269687.893346562,2.9281169531,271463.784148512
275817.496863452,3.0386672313,277631.409299582
282086.433920881,3.1533212036,283939.162166484
288497.864872181,3.2722278501,290390.22643439
295055.021432231,3.3955414061,296987.858121429
301761.208277695,3.5234215407,303735.387222067
308619.804682838,3.6560335415,310636.219387863
315634.266191594,3.793548505,317693.837646369
322808.126326848,3.9361435325,324911.804159114
330144.998337581,4.0840019336,332293.762019522
337648.576984779,4.2373134352,339843.437091664
345322.640367009,4.3962743977,347564.6398908
353171.051786446,4.5610880376,355461.26750666
361197.761656242,4.7319646581,363537.305570379
369406.809450218,4.9091218858,371796.830266172
377802.325695716,5.0927849163,380244.010388671
386388.534010599,5.2831867665,388883.109447029
395169.753185404,5.4805685352,397718.487816836
404150.399311488,5.6851796723,406754.604940886
413334.9879564,5.8972782559,415996.02158
422963.866185799,6.1227098409,425684.481481129
432817.099197886,6.3566376912,435598.583576863
442899.909985763,6.5993748696,445743.583026483
453217.642899435,6.8512456012,456124.857380824
463775.766457091,7.1125856534,466747.90943276
474579.876221148,7.3837427283,477618.370134042
485635.69774074,7.6650768664,488742.00158011
496949.089561947,7.9569608644,500124.700064394
508526.046307627,8.2597807049,511772.499203758
520372.701827978,8.5739360005,523691.573136735
532495.332424091,8.8998404517,535888.239796248
544900.360145498,9.2379223184,548368.964258548
557594.356163891,9.588624907,561140.362170148
570584.044224608,9.952407072,574209.203254594
583876.304177546,10.3297437333,587582.414900854
597478.175589523,10.7211264093,601267.085835336
611396.86143984,11.1270637665,615270.469879393
625639.731900909,11.5480821861,629599.989794355
640214.328206077,11.9847263473,644263.241216103
655128.36660639,12.4375598286,659267.996681273
670389.742418592,12.9071657279,674622.209747266
686006.534166231,13.3941472999,690334.019208142
701987.007816102,13.8991286143,706411.753408775
718339.621112265,14.422755232,722863.934659434
735073.028009729,14.9656949032,739699.283753209
752196.08321024,15.5286382845,756926.724588623
769717.846802358,16.1122996787,774555.388899923
787647.589008316,16.7174177954,792594.621097526
805994.795040052,17.344756534,811053.983221197
824769.170066957,17.9951057906,829943.260008616
843980.644297853,18.6692822865,849272.464081929
863639.378179698,19.3681304228,869051.841255153
